Clusters,Quality score,Unique
6.0,4.743420098137673,1.0
8.0,3.160120095208506,3.0
10.0,3.1925006216022442,3.0
12.0,4.1986873095823825,1.0
14.0,3.1646543918844046,4.0
16.0,2.6225965938026246,3.0
18.0,2.7606535486604202,5.0
20.0,2.7748352871431736,6.0
22.0,2.703748860145015,4.0
24.0,2.6627296523961697,5.0
26.0,2.6947689733499165,6.0
28.0,2.7103574196312,6.0
30.0,3.1734416452166174,6.0
32.0,3.289129712891212,3.0
34.0,2.7682537701487164,7.0
36.0,2.6335255554403485,7.0
38.0,2.8033754686493437,8.0
40.0,3.0148669629427,8.0
42.0,3.2903786013483494,4.0
44.0,2.94592929269095,9.0
46.0,2.7802717577286007,13.0
48.0,2.6609984276018057,8.0
50.0,2.634558285079914,10.0
52.0,2.60689964089696,6.0
54.0,2.7097560018483877,12.0
56.0,2.787217227496998,13.0
58.0,2.8094471068212945,12.0
60.0,2.9230420792201057,13.0
62.0,2.9890913156687047,9.0
64.0,3.0100959808576793,9.0
66.0,3.1481557252388255,11.0
68.0,3.346921892159329,13.0
70.0,3.3577938440941537,13.0
72.0,3.190716814676068,15.0
74.0,3.290943872351808,15.0
76.0,3.1984618915541905,12.0
78.0,3.1318652955266506,12.0
80.0,3.364302033026207,14.0
82.0,3.5720986892484015,15.0
84.0,3.6475708525744874,15.0
86.0,3.594092288992983,13.0
88.0,3.595336700610985,11.0
90.0,3.715410311198947,12.0
92.0,3.735864305360667,11.0
94.0,3.662519835879717,11.0
96.0,3.5684341328698763,9.0
98.0,3.3942881371687585,16.0
100.0,3.2125273904597424,11.0
102.0,3.3215970244805235,11.0
104.0,3.212880911142923,16.0
106.0,3.1036064154957694,17.0
108.0,3.0621092265608616,16.0
110.0,3.042770347455404,17.0
112.0,3.019954755932902,17.0
114.0,3.0521296316224467,16.0
116.0,2.971270113893989,16.0
118.0,2.943467763788957,16.0
120.0,2.9249228210248477,16.0
122.0,3.010758164850264,14.0
124.0,3.082435363518023,15.0
126.0,2.973523541017238,16.0
128.0,3.2523576866261443,14.0
130.0,3.3152506140302904,8.0
132.0,3.368286325851308,4.0
134.0,3.245126392570718,4.0
136.0,3.141127804611136,10.0
138.0,3.072815501921398,8.0
140.0,3.0007278579177434,15.0
142.0,3.0116964862744275,11.0
144.0,2.979349082214716,14.0
146.0,2.9084679433283,16.0
148.0,2.943267038060054,16.0
150.0,2.881474305834418,20.0
152.0,2.8678451025291296,17.0
154.0,2.782976981936787,18.0
156.0,2.8098196445942714,20.0
158.0,2.83181972768835,16.0
160.0,2.8173080062599203,19.0
162.0,2.830410367314861,19.0
164.0,2.7970431459445715,21.0
166.0,2.812608240477968,20.0
168.0,2.840235770005947,15.0
170.0,2.8122591677385063,17.0
172.0,2.800175661469333,18.0
174.0,2.8666443037344536,17.0
176.0,2.927185452642645,20.0
178.0,2.87319270762422,19.0
180.0,2.959345392435652,18.0
182.0,2.9914085624398856,20.0
184.0,3.0061793807244,19.0
186.0,2.888635529994483,20.0
188.0,2.93041455286102,17.0
190.0,3.029712059829266,19.0
192.0,3.055591099781119,19.0
194.0,3.1612588986161976,19.0
196.0,3.4024868029616426,15.0
198.0,3.2207394249666343,16.0
200.0,3.1451301404836762,15.0
202.0,3.2097655812109114,14.0
204.0,3.189768386661239,15.0
206.0,3.3075999785318237,15.0
208.0,3.2954451768501127,15.0
210.0,3.317461621998167,15.0
212.0,3.279936427878824,14.0
214.0,3.274420313290121,13.0
216.0,3.2526494134046775,16.0
218.0,3.256694745087891,14.0
220.0,3.2373897429496084,15.0
222.0,3.2280838249137904,14.0
224.0,3.2746012659282675,15.0
226.0,3.327263308398031,16.0
228.0,3.312223676471101,17.0
230.0,3.3664722686724664,17.0
232.0,3.3596574632550986,17.0
234.0,3.436501597752219,20.0
236.0,3.5008298383585,19.0
238.0,3.633722651684829,16.0
240.0,3.666996903325617,10.0
242.0,3.595542441947395,23.0
244.0,3.603548548074727,19.0
246.0,3.6102245367821677,19.0
248.0,3.604491541126601,17.0
250.0,3.5255227029629155,18.0
252.0,3.5440094937472737,20.0
254.0,3.5877910238795776,18.0
256.0,3.5743799143590436,18.0
258.0,3.58005362464844,18.0
260.0,3.5764618941744697,19.0
262.0,3.5578204867775804,19.0
264.0,3.6784530531844024,20.0
266.0,3.702428239506113,20.0
268.0,3.754235225539559,17.0
270.0,3.7556005503288414,17.0
272.0,3.6824074446969024,19.0
274.0,3.6662285660384266,19.0
276.0,3.6468910604838696,20.0
278.0,3.648054300598126,17.0
280.0,3.6198742438614575,18.0
