Clusters,Quality score,Unique
4.0,2.9707516121044213,1.0
6.0,5.657449062805201,3.0
8.0,3.3285855860991087,7.0
10.0,4.012053443955698,6.0
12.0,7.201437320557939,1.0
14.0,4.0321644720969925,7.0
16.0,2.901459438139067,6.0
18.0,2.878590629830449,9.0
20.0,2.6416775916826674,12.0
22.0,2.783976296325464,11.0
24.0,2.759061196081465,13.0
26.0,2.6676900593008988,14.0
28.0,2.6136209347539725,15.0
30.0,2.6690274521032995,12.0
32.0,2.6853109314828356,14.0
34.0,2.6909395159379272,14.0
36.0,2.797589110259617,18.0
38.0,2.919929417700109,18.0
40.0,2.8551651512877516,20.0
42.0,3.0355856835095296,16.0
44.0,3.0045619248557958,17.0
46.0,3.091354344788276,20.0
48.0,3.1042361004566352,17.0
50.0,3.147628570231629,21.0
52.0,3.1552221484184173,22.0
54.0,3.365796173134675,23.0
56.0,3.4945149052296625,22.0
58.0,3.549804653556768,20.0
60.0,3.7264272615055045,10.0
62.0,3.738786566392716,12.0
64.0,3.6699541359679193,12.0
66.0,3.5888193902703467,13.0
68.0,3.529978757344577,17.0
70.0,3.4298799816101213,22.0
72.0,3.3786138627942943,19.0
74.0,3.3243795019487816,25.0
76.0,3.287055165357176,24.0
78.0,3.1676122857318347,35.0
80.0,3.1349355494601303,33.0
82.0,3.0069535616265437,31.0
84.0,2.9677419688390763,31.0
86.0,2.8634607258121547,27.0
88.0,2.8911896871270857,24.0
90.0,2.8939793459659953,20.0
92.0,2.8651768242468525,19.0
94.0,2.85472969595214,17.0
96.0,2.804014087193229,20.0
98.0,2.939792484181668,24.0
100.0,2.981007486379415,24.0
102.0,2.9796566111406753,23.0
104.0,2.9510903575744525,26.0
106.0,2.937074238181829,25.0
108.0,3.0585346465311645,23.0
110.0,2.9979886962324462,23.0
112.0,3.158567329406563,22.0
114.0,3.119704107630241,17.0
116.0,3.3016636512244166,17.0
118.0,3.797411890881776,11.0
120.0,3.9453571912852947,10.0
122.0,4.025999089893082,4.0
124.0,3.577489123682432,9.0
126.0,3.399908864754967,16.0
128.0,3.2065578694713475,14.0
130.0,3.119668730600385,17.0
132.0,3.040909126847642,20.0
134.0,2.991156332292789,22.0
136.0,2.907044768752037,20.0
138.0,2.8415880351658487,24.0
140.0,2.7387304824549004,21.0
142.0,2.7813865620570937,24.0
144.0,2.812026471558653,23.0
146.0,2.8532296088266764,24.0
148.0,2.942071549633165,24.0
150.0,3.0693685474376364,14.0
152.0,3.0344767853577466,23.0
154.0,3.0260654538652396,25.0
156.0,3.080363162192466,19.0
158.0,3.026097999498219,23.0
160.0,2.9956455701398284,25.0
162.0,2.8608941001520547,34.0
164.0,2.79725406036916,41.0
166.0,2.739013213064447,37.0
168.0,2.8204538780814894,36.0
170.0,2.8311004831920052,30.0
172.0,2.844362872605406,33.0
174.0,2.8642511979653063,38.0
176.0,2.8175231601306603,38.0
178.0,2.8872098672992372,43.0
180.0,2.912324303806951,40.0
182.0,2.957870203741976,35.0
184.0,2.9667535343822977,30.0
186.0,2.980623064103563,27.0
188.0,2.9939885311117607,30.0
190.0,2.9949307100366105,21.0
192.0,3.080390956826559,18.0
194.0,3.0174050165854776,23.0
196.0,2.9340242539123658,24.0
198.0,2.9486721518518513,27.0
