PDB,# of Residues,CC_prody_ANM_200,CC_pycap_ANM_200,CC_pycap_UENM_200,CC_prody_ANM_400,CC_pycap_ANM_400,CC_pycap_UENM_400,CC_cbrown_thesis
7s21,16900,0.57,0.57,0.78,0.44,0.44,0.86,0.83
2e0z,42000,0.06,0.06,0.55,0.17,0.17,0.71,0.76
7s20,49500,-0.36,-0.36,0.70,-0.29,-0.29,0.74,0.63
6nj8,67740,0.23,0.23,0.08,0.22,0.22,0.29,0.35
6b23,73920,0.02,0.02,0.67,0.04,0.04,0.68,0.65
,AVG CC,0.11,0.11,0.56,0.12,0.12,0.66,0.64
